member_id,Meetup_1,Meetup_2,Meetup_3,Intro,Photo,Location_munich,last_visited_within_2wb_m2,last_visited_within_1wb_m2,last_visited_within_2wb_m3,last_visited_within_1wb_m3
183,RYN,-,-,0,1,1,0,0,0,0
184,x,-,-,0,0,1,0,0,0,0
185,x,x,-,0,1,0,0,0,1,1
186,-,RN,-,0,0,1,1,1,0,0
187,RN,RN,-,0,1,1,1,1,0,0
188,x,x,-,0,0,1,0,0,1,1
189,x,RYN,-,0,1,1,0,0,0,0
190,x,-,-,0,1,1,0,0,0,0
191,x,RYS,RYS,0,1,1,1,1,1,1
192,x,x,RN,0,1,1,0,0,0,0
193,x,RYN,-,0,1,1,1,0,0,0
194,-,-,-,0,1,1,0,0,0,0
195,x,x,-,0,0,1,0,0,0,0
196,x,-,-,0,1,1,1,1,0,0
197,x,x,-,0,1,1,0,0,0,0
198,x,RYN,-,0,1,1,0,0,1,0
199,-,-,-,0,1,1,0,0,0,0
200,RYN,-,-,0,1,1,0,0,0,0
201,-,-,-,0,1,1,0,0,1,1
202,x,x,-,0,1,0,0,0,1,0
203,x,x,RYN,0,1,1,0,0,1,0
204,RYN,-,-,0,1,1,0,0,0,0
205,-,-,-,0,1,1,0,0,0,0
206,x,x,-,0,1,1,0,0,1,1
207,-,-,-,0,1,0,0,0,0,0
208,x,x,-,0,1,1,0,0,0,0
209,x,-,-,0,1,0,0,0,1,1
210,x,RYN,-,0,1,1,1,1,0,0
211,-,-,-,0,1,0,0,0,0,0
212,x,RYN,RYS,0,1,1,1,1,1,1
213,RYS,RYS,RYS,1,1,1,1,1,1,1
214,RYS,-,-,1,1,1,0,0,0,0
215,x,x,-,0,1,1,0,0,0,0
216,RYS,RYS,-,0,1,1,1,1,1,1
217,-,-,-,0,1,1,0,0,0,0
218,-,-,-,0,1,0,1,1,0,0
219,x,RYN,-,0,0,1,0,0,0,0
220,x,x,-,0,1,1,0,0,1,0
221,-,-,-,0,1,1,0,0,0,0
222,RYN,RYS,RN,0,1,1,1,1,1,1
223,RYN,RYS,-,0,1,1,1,1,0,0
224,x,RYS,RYS,0,0,1,1,1,1,1
225,x,-,-,0,1,1,0,0,0,0
226,x,-,-,0,1,1,0,0,0,0
227,x,x,-,0,1,1,0,0,0,0
228,x,x,-,0,1,1,0,0,1,1
229,-,-,-,0,1,1,0,0,0,0
230,x,RN,-,0,0,1,1,1,0,0
231,x,x,RN,0,0,1,0,0,0,0
232,x,-,-,0,1,0,0,0,0,0
233,RYS,-,-,0,1,1,1,1,0,0
234,x,-,-,0,0,1,0,0,0,0
235,RN,RN,RYS,0,0,1,1,1,1,1
236,RYS,RN,-,0,1,1,1,0,0,0
237,x,x,RN,0,1,1,0,0,1,1
238,x,x,-,0,1,1,0,0,1,1
239,x,x,RYS,0,1,1,0,0,1,1
240,x,x,RYN,0,1,1,0,0,1,1
241,x,x,RYN,0,1,1,0,0,1,1
242,x,x,-,0,1,1,0,0,0,0
243,x,x,-,0,1,1,0,0,0,0
244,x,x,-,0,1,1,0,0,0,0
245,x,x,-,0,1,1,0,0,0,0
246,x,x,-,0,0,1,0,0,0,0
247,x,-,-,0,1,1,0,0,0,0
248,x,x,-,0,1,1,0,0,0,0
249,x,x,RYS,0,1,1,0,0,1,1
250,-,-,-,0,1,0,0,0,0,0
251,x,-,-,0,1,1,1,1,0,0
252,x,RYN,-,0,1,1,1,1,0,0
253,x,x,-,0,1,1,0,0,1,0
254,x,x,-,0,1,1,0,0,1,0
255,x,x,RYN,0,0,1,0,0,1,1
256,-,-,-,0,1,1,0,0,0,0
257,-,-,-,0,1,1,0,0,0,0
258,RYN,-,-,0,1,1,0,0,0,0
259,x,-,-,0,1,1,1,1,0,0
260,RN,-,-,0,1,1,0,0,0,0
261,-,-,-,0,1,1,0,0,0,0
262,x,x,RYS,0,1,1,0,0,1,1
263,-,-,-,0,0,0,0,0,0,0
264,x,x,RN,0,1,0,0,0,0,0
265,x,x,-,0,0,1,0,0,0,0
266,RYS,RN,-,0,1,1,1,1,0,0
267,x,-,-,0,1,1,0,0,0,0
268,x,x,-,0,1,1,0,0,0,0
269,x,-,-,0,1,1,0,0,0,0
270,x,RYS,-,0,0,1,1,1,0,0
271,x,x,RYS,0,1,1,0,0,1,1
272,RYN,-,-,0,1,1,0,0,0,0
273,RYN,RN,-,1,1,1,1,1,0,0
274,x,-,-,0,0,1,0,0,0,0
275,RN,-,-,0,1,1,1,1,1,1
276,-,-,-,0,1,1,0,0,0,0
277,x,x,-,0,0,0,0,0,0,0
278,x,RN,RYN,0,1,1,1,1,1,0
279,RN,-,RYS,0,1,1,0,0,1,1
280,x,x,RYS,0,0,1,0,0,1,1
281,x,-,-,0,1,1,0,0,0,0
282,x,x,RYN,0,1,1,0,0,1,1
283,x,x,-,0,1,1,0,0,0,0
284,x,RYN,-,0,0,1,0,0,0,0
285,-,-,-,0,0,0,0,0,0,0
286,x,x,-,0,1,1,0,0,1,1
287,x,-,-,0,0,1,1,1,0,0
288,x,x,RYS,0,0,1,0,0,1,1
289,RYN,-,RN,0,1,1,0,0,1,1
290,-,-,-,0,0,1,0,0,0,0
291,-,-,-,0,1,1,0,0,0,0
292,x,x,-,0,1,1,0,0,0,0
293,x,x,-,0,0,1,0,0,1,0
294,-,-,RYN,0,1,1,0,0,1,0
295,x,x,-,0,1,1,0,0,1,1
296,RYN,-,RYN,0,1,1,1,1,1,1
297,-,-,-,0,1,1,0,0,0,0
298,x,x,-,0,1,1,0,0,0,0
299,x,x,-,0,1,1,0,0,0,0
300,x,x,-,0,1,1,0,0,1,0
301,x,x,-,0,0,1,0,0,1,1
302,x,x,-,0,1,1,0,0,0,0
303,x,-,-,0,1,1,0,0,0,0
304,x,RYN,-,0,1,0,1,0,0,0
305,x,x,-,0,0,1,0,0,0,0
306,-,-,-,0,1,1,0,0,0,0
307,-,-,-,0,1,0,0,0,0,0
308,x,RN,-,0,0,1,1,1,0,0
309,x,x,-,0,0,1,0,0,0,0
310,x,x,RYS,0,1,0,0,0,1,1
311,-,-,-,0,1,1,0,0,0,0
312,x,-,-,0,1,1,1,0,0,0
313,RN,-,-,0,1,0,0,0,0,0
314,x,-,-,0,0,1,0,0,1,1
315,RN,RYS,RN,0,1,1,1,1,1,1
316,x,x,RYS,0,0,1,0,0,1,1
317,x,x,-,0,1,0,1,1,0,0
318,RYS,-,-,0,1,1,0,0,0,0
319,x,x,-,0,1,0,0,0,0,0
320,-,-,-,0,1,1,0,0,0,0
321,-,RYN,-,0,1,1,0,0,0,0
322,-,-,-,0,1,1,0,0,0,0
323,x,x,-,0,0,1,0,0,0,0
324,-,-,-,0,1,0,0,0,0,0
325,x,-,RYN,0,1,1,0,0,1,1
326,x,-,-,0,1,1,1,1,0,0
327,x,x,-,0,1,0,0,0,0,0
328,x,RN,-,0,1,0,1,1,0,0
329,RN,-,-,0,1,1,0,0,0,0
330,x,RYS,-,1,1,1,1,1,0,0
